corp_code,corp_name,stock_code,business_year,fs_label,revenue_current,revenue_previous,op_current,op_previous,revenue_account_name,op_account_name,current_period_name,previous_period_name
01071041,CJ 바이오사이언스,311690,2024,연결재무제표,3466535834.0,5575053720.0,-34241072033.0,-32056613825.0,매출액,영업이익(손실),제 16 기,제 15 기
01071041,CJ 바이오사이언스,311690,2025,연결재무제표,3692528456.0,3466535834.0,-24785824846.0,-34241072033.0,매출액,영업이익(손실),제 17 기,제 16 기
00113410,CJ대한통운,000120,2023,연결재무제표,11767893663269.0,12130712862374.0,480234863157.0,411786887242.0,매출액,영업이익(손실),제 114 기,제 113 기
00113410,CJ대한통운,000120,2024,연결재무제표,12116761147160.0,11767893663269.0,530663067133.0,480234863157.0,매출액,영업이익(손실),제 115 기,제 114 기
00113410,CJ대한통운,000120,2025,연결재무제표,12284652471280.0,12116761147160.0,508080820628.0,530663067133.0,매출액,영업이익(손실),제 116 기,제 115 기
00129013,CJ씨푸드,011150,2023,연결재무제표,148348807287.0,152701471935.0,4139339998.0,4135027843.0,매출액,영업이익(손실),제 48 기,제 47 기
00129013,CJ씨푸드,011150,2024,연결재무제표,193717170281.0,148348807287.0,4357856052.0,4139339998.0,매출액,영업이익(손실),제 49 기,제 48 기
00129013,CJ씨푸드,011150,2025,연결재무제표,192117633850.0,193717170281.0,-909622524.0,4357856052.0,매출액,영업이익(손실),제 50 기,제 49 기
00635134,CJ제일제당,097950,2023,연결재무제표,29023472909000.0,30079513121000.0,1291582413000.0,1664708210000.0,매출액,영업이익,제 17 기,제 16 기
00635134,CJ제일제당,097950,2024,연결재무제표,29359081823000.0,29023472909000.0,1553017638000.0,1291582413000.0,매출액,영업이익,제 18 기,제 17 기
00635134,CJ제일제당,097950,2025,연결재무제표,27342589100000.0,27239748024000.0,1233604641000.0,1452067669000.0,수익(매출액),영업이익(손실),제 19 기,제 18 기
00127954,CJ프레시웨이,051500,2023,연결재무제표,3074242286759.0,2747691651727.0,99255535636.0,97840086516.0,매출액,영업이익(손실),제 36 기,제 35 기
